time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-06-26T07:42:18.610Z,59.0901,-154.7419,128.6,2.5,ml,,,,0.9,ak,ak01984uji0c,2019-06-26T07:50:44.305Z,"74km S of Old Iliamna, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-06-26T07:10:29.746Z,-7.1913,123.2513,606.6,4.3,mb,,61,1.751,0.64,us,us7000456k,2019-06-26T07:34:03.040Z,"153km NNE of Palue, Indonesia",earthquake,11.4,6,0.138,15,reviewed,us,us
2019-06-26T05:53:34.369Z,56.1743,164.8258,10,4.5,mb,,113,4.78,1.45,us,us7000455y,2019-06-26T06:11:34.040Z,"131km NNW of Nikol'skoye, Russia",earthquake,12,1.9,0.048,126,reviewed,us,us
2019-06-26T05:33:59.840Z,19.0391,-65.9951,23,2.71,md,16,285,0.7354,0.35,pr,pr2019177004,2019-06-26T08:50:58.918Z,"64km N of San Juan, Puerto Rico",earthquake,1.37,21.75,0.38,15,reviewed,pr,pr
2019-06-26T05:23:50.890Z,8.449,-82.7677,26.22,6.2,mww,,42,0.351,1.23,us,us7000455l,2019-06-28T01:43:51.391Z,"5km SE of Aserrio de Gariche, Panama",earthquake,5.7,3,0.031,100,reviewed,us,us
2019-06-26T05:17:07.870Z,55.5856,164.2477,29.14,4.8,mb,,96,4.163,1.1,us,us7000455p,2019-06-26T05:52:21.040Z,"118km WNW of Nikol'skoye, Russia",earthquake,8.7,4.9,0.061,84,reviewed,us,us
2019-06-26T05:15:25.104Z,55.6616,164.6885,10,4.6,mb,,95,4.412,1.42,us,us7000455f,2019-06-26T06:35:55.040Z,"97km WNW of Nikol'skoye, Russia",earthquake,10.7,1.9,0.044,150,reviewed,us,us
2019-06-26T04:50:03.171Z,-2.6881,138.4391,37.25,4.9,mb,,113,6.187,0.72,us,us70004558,2019-06-26T05:10:09.040Z,"238km W of Abepura, Indonesia",earthquake,10.6,7.5,0.055,106,reviewed,us,us
2019-06-26T04:28:20.010Z,20.3461667,-155.7891667,40.91,2.49,md,59,178,0.1164,0.14,hv,hv71010501,2019-06-27T01:27:02.360Z,"12km N of Kapaau, Hawaii",earthquake,0.63,0.47,0.063,26,reviewed,hv,hv
2019-06-26T03:50:57.065Z,55.8906,164.4485,10,4.5,mb,,106,4.438,0.72,us,us70004548,2019-06-26T04:52:33.040Z,"124km NW of Nikol'skoye, Russia",earthquake,9.9,1.9,0.086,40,reviewed,us,us
2019-06-26T03:18:15.324Z,-9.536,157.7469,12.44,5.7,mww,,38,2.173,0.61,us,us7000453l,2019-06-27T03:20:06.915Z,"187km SSE of Gizo, Solomon Islands",earthquake,6.6,4.4,0.073,18,reviewed,us,us
2019-06-26T02:58:08.388Z,52.0362,-170.5883,98.1,2.5,ml,,211,1.414,0.4,us,us700045cy,2019-06-27T02:37:32.040Z,"66km S of Yunaska Island, Alaska",earthquake,19.8,45.1,0.128,8,reviewed,us,us
2019-06-26T02:44:27.376Z,56.3586,163.8162,10,4.6,mb,,105,4.488,0.64,us,us7000452c,2019-06-26T03:15:51.040Z,"84km E of Ust'-Kamchatsk Staryy, Russia",earthquake,5.3,1.8,0.063,74,reviewed,us,us
2019-06-26T02:18:07.944Z,56.1937,164.1339,10,6.4,mww,,22,4.5,0.88,us,us7000451w,2019-06-27T02:23:27.394Z,"102km E of Ust'-Kamchatsk Staryy, Russia",earthquake,7.2,1.8,0.062,25,reviewed,us,us
2019-06-26T01:41:07.255Z,-32.4528,-69.9488,106.2,4.3,mb,,83,0.595,0.78,us,us70004518,2019-06-26T03:20:16.040Z,"74km NE of Los Andes, Chile",earthquake,5.4,6.1,0.217,6,reviewed,us,us
2019-06-26T01:38:55.733Z,-9.2133,-75.8067,10,4.6,mb,,124,2.938,0.7,us,us70004519,2019-06-26T02:59:58.040Z,"23km ENE of Tingo Maria, Peru",earthquake,8.6,1.9,0.093,34,reviewed,us,us
2019-06-26T01:35:46.420Z,33.4965,-116.699,14,2.72,ml,127,13,0.0272,0.19,ci,ci38430487,2019-06-27T18:31:41.555Z,"7km SSW of Anza, CA",earthquake,0.1,0.2,0.235,26,reviewed,ci,ci
2019-06-26T01:27:32.140Z,17.9811,-66.3783,13,2.54,md,6,190,0.2217,0.2,pr,pr2019177003,2019-06-26T06:10:22.706Z,"1km NW of Jauca, Puerto Rico",earthquake,0.79,0.88,0.12,3,reviewed,pr,pr
2019-06-26T01:19:57.590Z,31.6213333,-114.4978333,6,2.86,ml,2,243,0.6557,0.08,ci,ci38430463,2019-06-26T17:15:56.091Z,"80km SE of Estacion Coahuila, B.C., MX",earthquake,1.29,31.61,0.03,3,reviewed,ci,ci
2019-06-26T00:48:59.206Z,-1.1704,-23.7117,10,4.7,mb,,112,11.487,0.72,us,us7000450v,2019-06-26T01:05:56.040Z,Central Mid-Atlantic Ridge,earthquake,4.2,1.9,0.081,46,reviewed,us,us
2019-06-26T00:48:31.936Z,60.0402,-147.2428,24.9,3.1,ml,,99,0.091,0.82,us,us7000450r,2019-06-26T02:52:21.040Z,"84km NW of Middleton Island, Alaska",earthquake,3,9.8,0.028,167,reviewed,us,us
2019-06-26T00:43:11.070Z,18.1733,-68.0788,126,3.24,md,18,204,0.6357,0.3,pr,pr2019177000,2019-06-26T02:46:24.040Z,"58km SE of Punta Cana, Dominican Republic",earthquake,3.83,1.59,0.36,15,reviewed,pr,pr
2019-06-26T00:29:51.191Z,43.4108,-127.2034,10,4.1,mb,,191,2.167,0.76,us,us7000450i,2019-06-26T01:16:18.040Z,"229km W of Bandon, Oregon",earthquake,8.7,2,0.089,34,reviewed,us,us
2019-06-26T00:28:35.740Z,18.9045,-69.4865,85.8,2.6,ml,,188,0.153,0.97,us,us70004550,2019-06-27T02:19:12.040Z,"13km SW of El Valle, Dominican Republic",earthquake,12,21.4,0.081,20,reviewed,us,us
2019-06-25T22:57:13.300Z,19.3258,-66.249,65,2.79,md,3,348,1.1016,0.22,pr,pr2019176022,2019-06-25T23:17:05.696Z,"95km N of Dorado, Puerto Rico",earthquake,9.96,17.72,0.09,3,reviewed,pr,pr
2019-06-25T22:44:21.326Z,22.635,143.2558,138.7,4.4,mb,,102,4.546,0.65,us,us700044yt,2019-06-27T04:18:48.040Z,"287km NW of Farallon de Pajaros, Northern Mariana Islands",earthquake,11.7,7.9,0.105,26,reviewed,us,us
2019-06-25T22:35:41.085Z,-30.8474,-177.2213,10,4.8,mb,,193,1.71,0.55,us,us700044yn,2019-06-26T10:30:24.500Z,"172km ENE of L'Esperance Rock, New Zealand",earthquake,11.5,2,0.148,14,reviewed,us,us
2019-06-25T22:26:43.440Z,-4.8055,103.0882,66.86,4.6,mb,,115,0.461,0.82,us,us700044yd,2019-06-25T22:58:01.040Z,"79km WNW of Kuripan, Indonesia",earthquake,8,5.2,0.09,37,reviewed,us,us
2019-06-25T22:24:27.716Z,-57.9843,-25.2735,35,4.9,mb,,83,16.543,0.75,us,us700044z4,2019-06-25T23:18:52.040Z,"137km NNE of Bristol Island, South Sandwich Islands",earthquake,9.9,1.9,0.101,31,reviewed,us,us
2019-06-25T20:32:17.891Z,0.2479,124.1685,118.67,4.5,mb,,46,1.895,0.93,us,us700044wh,2019-06-25T20:52:00.040Z,"25km SE of Molibagu, Indonesia",earthquake,7.6,7.7,0.087,39,reviewed,us,us
2019-06-25T19:50:39.420Z,19.6341,-65.3593,55,3.22,md,15,319,1.5101,0.26,pr,pr2019176021,2019-06-25T20:22:43.040Z,"144km NNE of Vieques, Puerto Rico",earthquake,2.73,11.32,0.42,14,reviewed,pr,pr
2019-06-25T19:42:04.758Z,-2.6486,138.5185,10,4.4,mb,,96,6.268,0.94,us,us700044vf,2019-06-25T20:19:49.040Z,"229km W of Abepura, Indonesia",earthquake,11,1.9,0.107,25,reviewed,us,us
2019-06-25T19:20:16.489Z,-21.8506,-68.4688,117.37,4.4,mb,,67,0.72,0.73,us,us700044ud,2019-06-25T20:09:37.040Z,"83km NE of Calama, Chile",earthquake,7.2,7.9,0.095,35,reviewed,us,us
2019-06-25T19:06:45.880Z,34.036,-117.5088333,3.41,2.63,ml,135,15,0.04872,0.19,ci,ci38430047,2019-06-27T21:33:45.891Z,"4km NW of Glen Avon, CA",earthquake,0.1,0.2,0.202,23,reviewed,ci,ci
2019-06-25T18:16:31.360Z,19.3668,-65.8015,84,2.7,md,6,321,1.2256,0.22,pr,pr2019176020,2019-06-25T18:41:51.040Z,"107km N of Vieques, Puerto Rico",earthquake,4.83,9.6,0.37,6,reviewed,pr,pr
2019-06-25T15:59:44.689Z,56.261,163.791,10,4.7,mb,,91,4.408,0.67,us,us700044rn,2019-06-25T16:55:12.040Z,"81km E of Ust'-Kamchatsk Staryy, Russia",earthquake,8.7,1.9,0.029,357,reviewed,us,us
2019-06-25T12:59:02.711Z,60.8768,-149.483,20.5,3.3,ml,,,,0.77,ak,ak01983a2xjd,2019-06-26T13:01:02.872Z,"44km SSE of Anchorage, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2019-06-25T12:36:58.632Z,-20.0898,-68.2553,178.35,4.5,mb,,84,0.978,0.48,us,us600045pg,2019-06-25T13:51:15.040Z,"140km W of Colchani, Bolivia",earthquake,8.5,8.3,0.22,6,reviewed,us,us
2019-06-25T11:38:41.529Z,-2.8514,138.5281,35,4.7,mb,,54,6.271,0.66,us,us600045pb,2019-06-25T14:45:04.040Z,"229km W of Abepura, Indonesia",earthquake,5.3,1.9,0.057,94,reviewed,us,us
2019-06-25T11:15:59.970Z,19.4013,-65.3925,106,2.53,md,5,332,1.5197,0.56,pr,pr2019176019,2019-06-25T17:08:48.399Z,"117km NNE of Vieques, Puerto Rico",earthquake,9.99,16.09,0.04,3,reviewed,pr,pr
2019-06-25T11:14:05.480Z,40.3546667,-125.2755,14.15,2.55,md,12,327,0.7163,0.31,nc,nc73201901,2019-06-26T03:03:04.282Z,"84km W of Petrolia, CA",earthquake,14.76,17.61,0.142,24,reviewed,nc,nc
2019-06-25T09:05:40.871Z,56.208,164.1836,10,6.3,mww,,55,4.53,1.07,us,us600045mz,2019-06-26T09:13:21.422Z,"105km E of Ust'-Kamchatsk Staryy, Russia",earthquake,7.5,1.8,0.066,22,reviewed,us,us
2019-06-25T07:38:08.610Z,19.2575,-68.4095,54,2.76,md,11,202,0.7794,0.53,pr,pr2019176014,2019-06-25T15:44:46.610Z,"72km NNE of Otra Banda, Dominican Republic",earthquake,3.53,7.42,0.46,11,reviewed,pr,pr
2019-06-25T06:01:49.444Z,-48.0161,99.6309,10,5.8,mww,,50,19.187,1.21,us,us600045lr,2019-06-26T06:03:30.877Z,Southeast Indian Ridge,earthquake,11.8,1.9,0.065,23,reviewed,us,us
